"divergence_threshold" "lambda" "omega" "sigma_bs" "sigma_t" "dispersal" "seed" "start_time" "model" "initial_abundance" "grid_cell_distance" "max_species" "ancestor_number" "inflexion" "decay" "aridity_cost" "K" "psi"
7 2.778 0.024 0.019 0.014 1.854 666 390 "m3_Scotese_Behr220_206" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.287 0.011 0.009 0.007 3.111 666 390 "m3_Scotese_Behr220_207" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.872 0.02 0.007 0.001 3.818 666 390 "m3_Scotese_Behr220_208" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.381 0.032 0.017 0.008 2.561 666 390 "m3_Scotese_Behr220_209" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.118 0.026 0.003 0.012 3.19 666 390 "m3_Scotese_Behr220_210" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.627 0.013 0.012 0.005 1.932 666 390 "m3_Scotese_Behr220_211" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.495 0.029 0.01 0.014 1.618 666 390 "m3_Scotese_Behr220_212" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.004 0.017 0.019 0.007 2.875 666 390 "m3_Scotese_Behr220_213" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.25 0.01 0.005 0.003 2.247 666 390 "m3_Scotese_Behr220_214" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.758 0.023 0.015 0.01 3.504 666 390 "m3_Scotese_Behr220_215" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.306 0.015 0.018 0.009 3.661 666 390 "m3_Scotese_Behr220_216" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.815 0.027 0.009 0.002 2.404 666 390 "m3_Scotese_Behr220_217" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.061 0.034 0.013 0.006 3.032 666 390 "m3_Scotese_Behr220_218" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.57 0.021 0.004 0.013 1.775 666 390 "m3_Scotese_Behr220_219" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.438 0.024 0.016 0.008 2.089 666 390 "m3_Scotese_Behr220_220" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.947 0.012 0.006 0.015 3.347 666 390 "m3_Scotese_Behr220_221" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.684 0.018 0.011 0.011 2.718 666 390 "m3_Scotese_Behr220_222" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.193 0.031 0.001 0.004 3.975 666 390 "m3_Scotese_Behr220_223" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.391 0.014 0.014 0.014 1.657 666 390 "m3_Scotese_Behr220_224" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.9 0.026 0.004 0.007 2.915 666 390 "m3_Scotese_Behr220_225" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.637 0.033 0.018 0.004 2.286 666 390 "m3_Scotese_Behr220_226" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.145 0.02 0.009 0.011 3.543 666 390 "m3_Scotese_Behr220_227" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.259 0.023 0.011 0.002 3.858 666 390 "m3_Scotese_Behr220_228" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.768 0.011 0.002 0.009 2.6 666 390 "m3_Scotese_Behr220_229" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.014 0.017 0.016 0.013 3.229 666 390 "m3_Scotese_Behr220_230" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.523 0.029 0.007 0.006 1.972 666 390 "m3_Scotese_Behr220_231" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.448 0.022 0.003 0.007 1.814 666 390 "m3_Scotese_Behr220_232" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.957 0.034 0.013 0.014 3.072 666 390 "m3_Scotese_Behr220_233" 10000 220 7500 1 1000 0.02 2 30000 0
10 3.202 0.028 0.008 0.01 2.443 666 390 "m3_Scotese_Behr220_234" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.711 0.015 0.017 0.003 3.7 666 390 "m3_Scotese_Behr220_235" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.825 0.031 0.005 0.008 3.386 666 390 "m3_Scotese_Behr220_236" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.334 0.018 0.015 0.001 2.129 666 390 "m3_Scotese_Behr220_237" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.071 0.012 0.01 0.005 2.757 666 390 "m3_Scotese_Behr220_238" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.58 0.025 0.02 0.012 1.5 666 390 "m3_Scotese_Behr220_239" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.165 0.035 0.015 0.011 2.207 666 390 "m3_Scotese_Behr220_240" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.674 0.022 0.006 0.004 3.465 666 390 "m3_Scotese_Behr220_241" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.919 0.016 0.011 0.008 1.579 666 390 "m3_Scotese_Behr220_242" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.428 0.029 0.001 0.015 2.836 666 390 "m3_Scotese_Behr220_243" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.297 0.019 0.018 0.006 3.15 666 390 "m3_Scotese_Behr220_244" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.806 0.032 0.008 0.013 1.893 666 390 "m3_Scotese_Behr220_245" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.542 0.026 0.013 0.01 3.779 666 390 "m3_Scotese_Behr220_246" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.051 0.013 0.004 0.003 2.522 666 390 "m3_Scotese_Behr220_247" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.108 0.027 0.01 0.003 2.679 666 390 "m3_Scotese_Behr220_248" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.617 0.015 0.019 0.01 3.936 666 390 "m3_Scotese_Behr220_249" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.354 0.021 0.005 0.014 2.05 666 390 "m3_Scotese_Behr220_250" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.862 0.033 0.014 0.007 3.307 666 390 "m3_Scotese_Behr220_251" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.731 0.011 0.007 0.012 2.993 666 390 "m3_Scotese_Behr220_252" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.24 0.024 0.017 0.005 1.736 666 390 "m3_Scotese_Behr220_253" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.485 0.03 0.002 0.002 3.622 666 390 "m3_Scotese_Behr220_254" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.994 0.018 0.012 0.009 2.364 666 390 "m3_Scotese_Behr220_255" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.491 0.026 0.006 0.013 3.941 666 390 "m3_Scotese_Behr220_256" 10000 220 7500 1 1000 0.02 2 30000 0
6 5 0.014 0.016 0.006 2.684 666 390 "m3_Scotese_Behr220_257" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.737 0.02 0.002 0.002 3.312 666 390 "m3_Scotese_Behr220_258" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.246 0.033 0.011 0.009 2.055 666 390 "m3_Scotese_Behr220_259" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.36 0.011 0.009 0.004 1.741 666 390 "m3_Scotese_Behr220_260" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.868 0.023 0.018 0.011 2.998 666 390 "m3_Scotese_Behr220_261" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.114 0.03 0.004 0.014 2.369 666 390 "m3_Scotese_Behr220_262" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.623 0.017 0.014 0.007 3.627 666 390 "m3_Scotese_Behr220_263" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.548 0.034 0.019 0.005 3.47 666 390 "m3_Scotese_Behr220_264" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.057 0.022 0.01 0.012 2.212 666 390 "m3_Scotese_Behr220_265" 10000 220 7500 1 1000 0.02 2 30000 0
10 3.303 0.015 0.015 0.008 2.841 666 390 "m3_Scotese_Behr220_266" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.811 0.028 0.005 0.001 1.583 666 390 "m3_Scotese_Behr220_267" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.925 0.019 0.017 0.01 1.898 666 390 "m3_Scotese_Behr220_268" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.434 0.031 0.008 0.003 3.155 666 390 "m3_Scotese_Behr220_269" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.171 0.025 0.012 0.007 2.527 666 390 "m3_Scotese_Behr220_270" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.68 0.012 0.003 0.014 3.784 666 390 "m3_Scotese_Behr220_271" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.077 0.022 0.003 0.01 3.077 666 390 "m3_Scotese_Behr220_272" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.585 0.035 0.013 0.003 1.819 666 390 "m3_Scotese_Behr220_273" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.831 0.029 0.008 0.006 3.705 666 390 "m3_Scotese_Behr220_274" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.34 0.016 0.018 0.013 2.448 666 390 "m3_Scotese_Behr220_275" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.208 0.032 0.001 0.008 2.134 666 390 "m3_Scotese_Behr220_276" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.717 0.019 0.011 0.015 3.391 666 390 "m3_Scotese_Behr220_277" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.454 0.013 0.006 0.011 1.505 666 390 "m3_Scotese_Behr220_278" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.963 0.026 0.015 0.004 2.762 666 390 "m3_Scotese_Behr220_279" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.02 0.015 0.012 0.002 2.919 666 390 "m3_Scotese_Behr220_280" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.528 0.027 0.002 0.009 1.662 666 390 "m3_Scotese_Behr220_281" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.265 0.033 0.016 0.012 3.548 666 390 "m3_Scotese_Behr220_282" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.774 0.021 0.007 0.005 2.291 666 390 "m3_Scotese_Behr220_283" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.642 0.024 0.014 0.014 2.605 666 390 "m3_Scotese_Behr220_284" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.151 0.011 0.005 0.007 3.862 666 390 "m3_Scotese_Behr220_285" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.397 0.018 0.019 0.003 1.976 666 390 "m3_Scotese_Behr220_286" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.906 0.03 0.009 0.01 3.234 666 390 "m3_Scotese_Behr220_287" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.69 0.016 0.017 0.006 2.409 666 390 "m3_Scotese_Behr220_288" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.198 0.028 0.008 0.013 3.666 666 390 "m3_Scotese_Behr220_289" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.444 0.035 0.013 0.01 1.78 666 390 "m3_Scotese_Behr220_290" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.953 0.022 0.003 0.003 3.037 666 390 "m3_Scotese_Behr220_291" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.067 0.025 0.02 0.008 3.352 666 390 "m3_Scotese_Behr220_292" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.576 0.013 0.01 0.001 2.094 666 390 "m3_Scotese_Behr220_293" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.312 0.019 0.015 0.005 3.98 666 390 "m3_Scotese_Behr220_294" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.821 0.031 0.005 0.012 2.723 666 390 "m3_Scotese_Behr220_295" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.255 0.02 0.009 0.014 2.566 666 390 "m3_Scotese_Behr220_296" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.764 0.033 0.019 0.007 3.823 666 390 "m3_Scotese_Behr220_297" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.501 0.027 0.004 0.004 1.937 666 390 "m3_Scotese_Behr220_298" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.01 0.014 0.014 0.011 3.194 666 390 "m3_Scotese_Behr220_299" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.124 0.03 0.007 0.002 2.88 666 390 "m3_Scotese_Behr220_300" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.633 0.017 0.016 0.009 1.623 666 390 "m3_Scotese_Behr220_301" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.878 0.011 0.002 0.012 3.509 666 390 "m3_Scotese_Behr220_302" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.387 0.024 0.011 0.005 2.251 666 390 "m3_Scotese_Behr220_303" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.784 0.032 0.014 0.003 1.544 666 390 "m3_Scotese_Behr220_304" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.293 0.02 0.005 0.01 2.802 666 390 "m3_Scotese_Behr220_305" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.029 0.013 0.019 0.014 2.173 666 390 "m3_Scotese_Behr220_306" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.538 0.026 0.01 0.007 3.43 666 390 "m3_Scotese_Behr220_307" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.407 0.017 0.012 0.012 3.745 666 390 "m3_Scotese_Behr220_308" 10000 220 7500 1 1000 0.02 2 30000 0
10 3.916 0.029 0.002 0.005 2.487 666 390 "m3_Scotese_Behr220_309" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.161 0.023 0.017 0.001 3.116 666 390 "m3_Scotese_Behr220_310" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.67 0.01 0.007 0.009 1.859 666 390 "m3_Scotese_Behr220_311" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.218 0.028 0.001 0.011 2.016 666 390 "m3_Scotese_Behr220_312" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.727 0.015 0.011 0.004 3.273 666 390 "m3_Scotese_Behr220_313" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.972 0.021 0.006 0.008 2.644 666 390 "m3_Scotese_Behr220_314" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.481 0.034 0.016 0.015 3.902 666 390 "m3_Scotese_Behr220_315" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.35 0.012 0.004 0.006 3.587 666 390 "m3_Scotese_Behr220_316" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.859 0.024 0.013 0.013 2.33 666 390 "m3_Scotese_Behr220_317" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.595 0.031 0.008 0.009 2.959 666 390 "m3_Scotese_Behr220_318" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.104 0.018 0.018 0.002 1.701 666 390 "m3_Scotese_Behr220_319" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.289 0.031 0.011 0.013 1.878 666 390 "m3_Scotese_Behr220_320" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.798 0.018 0.001 0.006 3.136 666 390 "m3_Scotese_Behr220_321" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.043 0.012 0.016 0.003 2.507 666 390 "m3_Scotese_Behr220_322" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.552 0.025 0.006 0.01 3.764 666 390 "m3_Scotese_Behr220_323" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.42 0.021 0.013 0.001 3.45 666 390 "m3_Scotese_Behr220_324" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.929 0.034 0.004 0.008 2.193 666 390 "m3_Scotese_Behr220_325" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.666 0.028 0.018 0.012 2.821 666 390 "m3_Scotese_Behr220_326" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.175 0.015 0.009 0.005 1.564 666 390 "m3_Scotese_Behr220_327" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.855 0.023 0.005 0.007 1.721 666 390 "m3_Scotese_Behr220_328" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.363 0.01 0.015 0.014 2.978 666 390 "m3_Scotese_Behr220_329" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.1 0.017 0.01 0.011 2.35 666 390 "m3_Scotese_Behr220_330" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.609 0.029 0.019 0.004 3.607 666 390 "m3_Scotese_Behr220_331" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.477 0.014 0.003 0.009 3.921 666 390 "m3_Scotese_Behr220_332" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.986 0.026 0.012 0.002 2.664 666 390 "m3_Scotese_Behr220_333" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.232 0.032 0.007 0.006 3.293 666 390 "m3_Scotese_Behr220_334" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.741 0.02 0.017 0.013 2.035 666 390 "m3_Scotese_Behr220_335" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.138 0.011 0.019 0.01 2.743 666 390 "m3_Scotese_Behr220_336" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.646 0.024 0.009 0.003 4 666 390 "m3_Scotese_Behr220_337" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.383 0.03 0.014 0.007 2.114 666 390 "m3_Scotese_Behr220_338" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.892 0.018 0.004 0.014 3.371 666 390 "m3_Scotese_Behr220_339" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.006 0.027 0.016 0.005 3.057 666 390 "m3_Scotese_Behr220_340" 10000 220 7500 1 1000 0.02 2 30000 0
10 3.515 0.014 0.007 0.012 1.8 666 390 "m3_Scotese_Behr220_341" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.76 0.021 0.012 0.009 3.686 666 390 "m3_Scotese_Behr220_342" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.269 0.033 0.002 0.002 2.428 666 390 "m3_Scotese_Behr220_343" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.572 0.019 0.008 0.004 2.271 666 390 "m3_Scotese_Behr220_344" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.081 0.032 0.018 0.011 3.528 666 390 "m3_Scotese_Behr220_345" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.326 0.025 0.003 0.015 1.642 666 390 "m3_Scotese_Behr220_346" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.835 0.013 0.013 0.008 2.9 666 390 "m3_Scotese_Behr220_347" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.949 0.035 0.01 0.013 3.214 666 390 "m3_Scotese_Behr220_348" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.458 0.022 0.02 0.006 1.957 666 390 "m3_Scotese_Behr220_349" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.194 0.016 0.006 0.002 3.843 666 390 "m3_Scotese_Behr220_350" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.703 0.029 0.015 0.01 2.585 666 390 "m3_Scotese_Behr220_351" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.09 0.017 0.002 0.006 2.782 666 390 "m3_Scotese_Behr220_352" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.599 0.03 0.012 0.013 1.525 666 390 "m3_Scotese_Behr220_353" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.336 0.023 0.007 0.009 3.411 666 390 "m3_Scotese_Behr220_354" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.845 0.011 0.017 0.002 2.153 666 390 "m3_Scotese_Behr220_355" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.713 0.033 0.005 0.011 2.468 666 390 "m3_Scotese_Behr220_356" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.222 0.02 0.014 0.004 3.725 666 390 "m3_Scotese_Behr220_357" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.468 0.014 0.009 0.008 1.839 666 390 "m3_Scotese_Behr220_358" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.976 0.027 0.019 0.015 3.096 666 390 "m3_Scotese_Behr220_359" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.147 0.012 0.013 0.012 3.253 666 390 "m3_Scotese_Behr220_360" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.656 0.025 0.004 0.005 1.996 666 390 "m3_Scotese_Behr220_361" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.902 0.031 0.018 0.001 3.882 666 390 "m3_Scotese_Behr220_362" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.411 0.019 0.008 0.008 2.625 666 390 "m3_Scotese_Behr220_363" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.279 0.028 0.011 0.003 2.31 666 390 "m3_Scotese_Behr220_364" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.788 0.016 0.001 0.01 3.568 666 390 "m3_Scotese_Behr220_365" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.525 0.022 0.015 0.014 1.682 666 390 "m3_Scotese_Behr220_366" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.033 0.034 0.006 0.007 2.939 666 390 "m3_Scotese_Behr220_367" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.43 0.024 0.01 0.003 3.646 666 390 "m3_Scotese_Behr220_368" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.939 0.012 0.02 0.01 2.389 666 390 "m3_Scotese_Behr220_369" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.185 0.018 0.005 0.013 3.018 666 390 "m3_Scotese_Behr220_370" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.694 0.03 0.015 0.006 1.76 666 390 "m3_Scotese_Behr220_371" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.807 0.015 0.008 0.015 2.075 666 390 "m3_Scotese_Behr220_372" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.316 0.027 0.017 0.008 3.332 666 390 "m3_Scotese_Behr220_373" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.053 0.034 0.003 0.004 2.703 666 390 "m3_Scotese_Behr220_374" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.562 0.021 0.012 0.011 3.961 666 390 "m3_Scotese_Behr220_375" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.373 0.029 0.016 0.009 3.804 666 390 "m3_Scotese_Behr220_376" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.882 0.016 0.007 0.002 2.546 666 390 "m3_Scotese_Behr220_377" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.619 0.01 0.011 0.005 3.175 666 390 "m3_Scotese_Behr220_378" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.128 0.023 0.002 0.012 1.917 666 390 "m3_Scotese_Behr220_379" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.242 0.02 0.018 0.007 1.603 666 390 "m3_Scotese_Behr220_380" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.75 0.032 0.009 0.014 2.861 666 390 "m3_Scotese_Behr220_381" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.996 0.026 0.014 0.011 2.232 666 390 "m3_Scotese_Behr220_382" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.505 0.013 0.004 0.004 3.489 666 390 "m3_Scotese_Behr220_383" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.489 0.021 0.015 0.01 2.929 666 390 "m3_Scotese_Behr220_384" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.998 0.033 0.005 0.003 1.672 666 390 "m3_Scotese_Behr220_385" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.244 0.027 0.02 0.006 3.558 666 390 "m3_Scotese_Behr220_386" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.752 0.015 0.01 0.013 2.301 666 390 "m3_Scotese_Behr220_387" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.866 0.03 0.012 0.005 2.615 666 390 "m3_Scotese_Behr220_388" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.375 0.018 0.003 0.012 3.872 666 390 "m3_Scotese_Behr220_389" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.112 0.011 0.017 0.008 1.986 666 390 "m3_Scotese_Behr220_390" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.621 0.024 0.008 0.001 3.244 666 390 "m3_Scotese_Behr220_391" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.432 0.016 0.002 0.004 3.086 666 390 "m3_Scotese_Behr220_392" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.941 0.029 0.011 0.011 1.829 666 390 "m3_Scotese_Behr220_393" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.678 0.035 0.006 0.014 3.715 666 390 "m3_Scotese_Behr220_394" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.187 0.022 0.016 0.007 2.458 666 390 "m3_Scotese_Behr220_395" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.301 0.025 0.004 0.013 2.143 666 390 "m3_Scotese_Behr220_396" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.809 0.013 0.014 0.006 3.401 666 390 "m3_Scotese_Behr220_397" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.055 0.019 0.009 0.002 1.515 666 390 "m3_Scotese_Behr220_398" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.564 0.032 0.018 0.009 2.772 666 390 "m3_Scotese_Behr220_399" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.961 0.028 0.017 0.014 3.479 666 390 "m3_Scotese_Behr220_400" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.47 0.015 0.007 0.007 2.222 666 390 "m3_Scotese_Behr220_401" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.206 0.022 0.012 0.003 2.851 666 390 "m3_Scotese_Behr220_402" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.715 0.034 0.002 0.01 1.593 666 390 "m3_Scotese_Behr220_403" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.583 0.012 0.019 0.002 1.908 666 390 "m3_Scotese_Behr220_404" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.092 0.025 0.009 0.009 3.165 666 390 "m3_Scotese_Behr220_405" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.338 0.031 0.014 0.012 2.536 666 390 "m3_Scotese_Behr220_406" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.847 0.018 0.005 0.005 3.794 666 390 "m3_Scotese_Behr220_407" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.018 0.033 0.008 0.008 3.951 666 390 "m3_Scotese_Behr220_408" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.527 0.02 0.018 0.015 2.694 666 390 "m3_Scotese_Behr220_409" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.772 0.014 0.003 0.011 3.322 666 390 "m3_Scotese_Behr220_410" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.281 0.026 0.013 0.004 2.065 666 390 "m3_Scotese_Behr220_411" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.149 0.017 0.006 0.009 1.75 666 390 "m3_Scotese_Behr220_412" 10000 220 7500 1 1000 0.02 2 30000 0
